datetime,open,high,low,close,volume
2025-07-25,6406.75,6431.0,6401.0,6425.0,829856
2025-07-28,6450.0,6457.75,6408.75,6422.75,972646
2025-07-29,6424.25,6442.5,6396.25,6406.0,1122508
2025-07-30,6404.0,6435.25,6366.75,6396.25,1302795
2025-07-31,6435.5,6468.5,6357.5,6374.25,1857020
2025-08-01,6359.5,6373.5,6239.5,6264.5,2287699
2025-08-04,6257.0,6370.0,6251.25,6356.0,1304652
2025-08-05,6370.0,6377.5,6315.5,6325.25,1402448
2025-08-06,6323.0,6379.5,6313.25,6371.0,1233346
2025-08-07,6371.0,6426.75,6334.5,6366.5,1458573
2025-08-08,6372.5,6425.75,6369.25,6413.5,1196497
2025-08-11,6422.75,6431.5,6387.5,6399.75,1073359
2025-08-12,6396.0,6470.0,6391.25,6468.5,1271180
2025-08-13,6468.0,6502.5,6461.0,6488.75,1111683
2025-08-14,6485.0,6496.0,6453.25,6490.5,1186070
2025-08-15,6489.25,6508.75,6461.5,6471.5,1122157
2025-08-18,6467.0,6484.25,6456.0,6469.25,860451
2025-08-19,6468.5,6477.5,6419.25,6432.5,1224317
2025-08-20,6433.0,6438.0,6362.75,6413.25,1609469
2025-08-21,6414.25,6419.0,6370.25,6388.25,1200689
2025-08-22,6392.0,6496.25,6364.0,6483.25,1420723
2025-08-25,6493.0,6494.0,6453.0,6455.5,932515
2025-08-26,6460.25,6487.5,6430.75,6482.5,1133761
2025-08-27,6486.75,6505.5,6459.25,6496.0,957730
2025-08-28,6485.0,6523.0,6471.0,6517.5,1170397
2025-08-29,6516.0,6518.0,6455.5,6472.75,0
2025-09-02,6478.75,6491.5,6371.75,6425.5,1802584
2025-09-03,6448.0,6464.25,6425.5,6457.25,1435997
2025-09-04,6460.0,6516.75,6454.5,6510.75,1186477
2025-09-05,6515.75,6541.75,6452.0,6489.75,1710784
2025-09-08,6483.75,6516.5,6480.25,6506.0,1187985
2025-09-09,6507.75,6536.25,6489.25,6521.75,1169514
2025-09-10,6532.25,6565.25,6522.5,6539.75,1381759
2025-09-11,6535.75,6600.0,6535.5,6592.5,1282669
2025-09-12,6596.25,6606.0,6576.0,6588.25,1601056
2025-09-15,6588.25,6623.5,6585.25,6621.5,1539732
2025-09-16,6616.25,6639.0,6604.25,6610.75,837034
2025-09-17,6613.0,6629.0,6554.0,6601.25,560841
2025-09-18,6606.0,6662.0,6605.75,6635.0,339967
2025-09-19,6640.0,6660.75,6622.75,6658.77001953125,1369003
2025-09-22,6716.0,6756.75,6695.25,6752.5,1081569
2025-09-23,6749.5,6756.5,6701.75,6715.0,1264195
2025-09-24,6717.75,6728.75,6678.0,6692.25,1250173
2025-09-25,6697.25,6705.25,6624.25,6659.75,1710507
2025-09-26,6662.75,6703.75,6653.25,6696.5,1338413
2025-09-29,6697.0,6736.0,6696.25,6713.5,1209953
2025-09-30,6708.0,6743.5,6693.0,6738.75,1521737
2025-10-01,6725.5,6769.5,6680.0,6761.5,1312743
2025-10-02,6757.0,6782.25,6741.5,6766.75,1182875
2025-10-03,6764.75,6800.0,6754.0,6764.0,1366239
2025-10-06,6768.0,6797.75,6766.5,6788.75,1087339
2025-10-07,6789.5,6802.75,6747.25,6761.5,1433808
2025-10-08,6766.0,6807.75,6758.25,6801.25,1047925
2025-10-09,6802.75,6812.25,6760.75,6779.25,1370466
2025-10-10,6779.5,6806.5,6540.25,6595.25,2570043
2025-10-13,6632.0,6711.5,6632.0,6694.75,2570043
2025-10-14,6691.0,6722.5,6593.25,6686.5,2147252
2025-10-15,6684.25,6766.75,6651.5,6715.0,2009854
2025-10-16,6715.25,6750.5,6632.0,6668.75,2221351
2025-10-17,6659.25,6718.0,6571.25,6702.5,2081456
2025-10-20,6721.0,6783.0,6694.0,6773.75,1207586
2025-10-21,6779.5,6789.75,6759.25,6773.25,1285745
2025-10-22,6776.0,6788.75,6690.75,6737.0,1905565
2025-10-23,6733.5,6785.75,6717.5,6775.0,1375494
2025-10-24,6778.25,6841.25,6776.5,6827.0,1279387
2025-10-27,6881.0,6916.25,6865.75,6908.25,1191278
